unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
2.681412;229.20313;-38.59375;25.21875;
2.693804;229.48438;-40.640625;24.609375;
2.7029848;229.67188;-42.25;24.25;
2.712388;229.875;-43.59375;22.9375;
2.7224429;230.17188;-43.6875;22.078125;
2.732682;230.53125;-41.609375;23.234375;
2.742702;230.79688;-39.953125;25.578125;
2.7528129;230.92188;-39.078125;27.734375;
2.762863;230.95313;-38.328125;29.203125;
2.773057;231.21875;-37.15625;28.84375;
2.7837229;237.57813;-37.046875;24.375;
2.793722;237.65625;-34.9375;30.125;
2.8044999;243.59375;-32.59375;28.140625;
2.814622;251.85938;-27.359375;31.40625;
2.823974;255.46875;-26.15625;36.28125;
2.834052;250.0625;-28.421875;38.578125;
2.8441129;236.75;-29.4375;41.75;
2.854191;217.67188;-31.296875;43.578125;
2.864353;199.8125;-33.390625;44.71875;
2.874364;186.60938;-34.796875;45.375;
2.8844328;176.95313;-36.265625;45.9375;
2.894508;166.75;-36.03125;47.953125;
2.9046469;160.51563;-38.875;48.140625;
2.914723;154.04688;-37.09375;49.96875;
2.926393;142.9375;-32.65625;53.671875;
2.935068;146.51563;-32.265625;48.71875;
2.94553;127.46875;-27.359375;56.984375;
2.955578;113.328125;-25.390625;60.3125;
2.9659698;100.796875;-21.546875;66.484375;
2.975631;92.0;-18.296875;71.46875;
2.985664;84.03125;-15.0625;74.921875;
2.996202;75.796875;-169.10938;79.046875;
3.005999;67.15625;-174.28125;83.171875;
3.01595;60.125;-177.48438;84.203125;
3.026217;55.828125;-179.01563;82.4375;
3.0383947;55.484375;-179.5;82.71875;
3.04778;55.328125;-177.53125;83.71875;
3.0573177;55.421875;-174.59375;83.390625;
3.0670488;55.734375;-8.484375;81.515625;
3.077154;56.0625;-10.03125;79.28125;
3.087205;56.296875;-10.265625;78.171875;
3.09728;56.453125;-10.265625;77.328125;
3.1074119;56.625;-10.65625;76.53125;
3.117548;56.890625;-11.3125;75.625;
3.127626;57.203125;-11.640625;75.234375;
3.137693;57.5;-11.609375;74.765625;
3.147771;57.703125;-11.125;74.171875;
3.1585338;57.75;-10.15625;73.71875;
3.169006;57.5625;-8.375;73.859375;
3.178655;57.140625;-6.359375;73.75;
3.188144;53.015625;-5.15625;73.328125;
3.1981838;52.65625;-4.53125;71.765625;
3.2082999;52.28125;-4.734375;69.625;
3.2183878;51.90625;-5.484375;67.140625;
3.2284641;51.5625;-6.921875;63.703125;
3.2385478;51.265625;-8.03125;61.0625;
3.2486567;50.96875;-8.484375;58.953125;
3.2587671;50.53125;-7.859375;57.515625;
3.2688239;46.53125;-6.875;56.953125;
3.2804859;46.265625;-5.890625;56.71875;
3.2898297;45.96875;-4.875;56.421875;
3.299125;45.90625;-3.890625;57.25;
3.3093889;45.890625;-3.015625;57.140625;
3.319361;46.15625;-3.140625;57.125;
3.329401;46.53125;-2.796875;56.671875;
3.339567;51.84375;-2.890625;56.359375;
3.3495858;58.859375;-3.546875;55.703125;
3.3597088;65.203125;-3.640625;54.640625;
3.369729;72.6875;-3.921875;53.53125;
